date_range,raw_metar
2005-01-01,200501310340 METAR VABB 310340Z 10003KT 2500 -DZ SCT020 BKN100 24/15 Q1014 NOSIG=
2005-01-01,200501310330 METAR VABB NIL=
2005-01-01,200501310240 METAR VABB 310240Z 12003KT 3000 HZ SCT020 BKN100 23/15 Q1014 NOSIG=
2005-01-01,200501310230 METAR VABB NIL=
2005-01-01,200501310130 METAR VABB NIL=
2005-01-01,200501310100 METAR VABB NIL=
2005-01-01,200501310040 METAR VABB 310040Z 11005KT 4000 -RA FEW020 SCT100 23/15 Q1012 NOSIG=
2005-01-01,200501310030 METAR VABB NIL=
2005-01-01,200501310000 METAR VABB NIL=
2005-01-01,200501302340 METAR VABB 302340Z 12004KT 4000 HZ FEW020 SCT100 23/17 Q1012 TEMPO 3000 SHRA=
2005-01-01,200501302240 METAR VABB 302240Z 00000KT 4000 -DZ FEW020 SCT100 23/16 Q1012 TEMPO 3000 SHRA=
2005-01-01,200501302140 METAR VABB 302140Z 00000KT 4000 -DZ FEW020 SCT100 23/15 Q1012 TEMPO 1500 SHRA=
2005-01-01,200501302130 METAR VABB NIL=
2005-01-01,200501302040 METAR VABB 302040Z 00000KT 4000 HZ FEW020 SCT100 23/16 Q1012 TEMPO 3000 SHRA=
2005-01-01,200501302030 METAR VABB NIL=
2005-01-01,200501302000 METAR VABB NIL=
2005-01-01,200501301940 METAR VABB 301940Z 17004KT 4000 FU BKN100 23/14 Q1013 NOSIG=
2005-01-01,200501301930 METAR VABB NIL=
2005-01-01,200501301840 METAR VABB 301840Z 00000KT 4000 FU BKN100 26/15 Q1013 NOSIG=
2005-01-01,200501301830 METAR VABB NIL=
2005-01-01,200501301800 METAR VABB NIL=
2005-01-01,200501301740 METAR VABB 301740Z 00000KT 4000 FU FEW020 SCT100 25/13 Q1012 NOSIG=
2005-01-01,200501301730 METAR VABB NIL=
2005-01-01,200501301700 METAR VABB NIL=
2005-01-01,200501301640 METAR VABB 301640Z 28004KT 4000 FU FEW020 SCT100 25/14 Q1013 NOSIG=
2005-01-01,200501301540 METAR VABB 301540Z 00000KT 4000 -RA SCT020 SCT100 25/14 Q1012 NOSIG=
2005-01-01,200501301530 METAR VABB NIL=
2005-01-01,200501301440 METAR VABB 301440Z 34003KT 4000 FU FEW020 BKN100 25/14 Q1011 NOSIG=
2005-01-01,200501301340 METAR VABB 301340Z 27004KT 4000 FU FEW020 SCT100 26/14 Q1011 NOSIG=
2005-01-01,200501301330 METAR VABB NIL=
2005-01-01,200501301240 METAR VABB 301240Z 29007KT 4000 FU SCT020 BKN100 26/14 Q1011 TEMPO 3000 SHRA=
2005-01-01,200501301200 METAR VABB NIL=
2005-01-01,200501301140 METAR VABB 301140Z 28006KT 5000 FU SCT020 BKN100 26/12 Q1010 TEMPO 4000 FU=
2005-01-01,200501301100 METAR VABB NIL=
2005-01-01,200501301040 METAR VABB 301040Z 27006KT 5000 FU SCT020 BKN100 27/12 Q1009 NOSIG=
2005-01-01,200501301030 METAR VABB NIL=
2005-01-01,200501301000 METAR VABB NIL=
2005-01-01,200501300940 METAR VABB 300940Z 26006KT 5000 FU SCT020 BKN100 27/11 Q1010 NOSIG=
2005-01-01,200501300930 METAR VABB NIL=
2005-01-01,200501300900 METAR VABB NIL=
2005-01-01,200501300840 METAR VABB 300840Z 28007KT 5000 FU BKN100 27/11 Q1010 NOSIG=
2005-01-01,200501300800 METAR VABB NIL=
2005-01-01,200501300740 METAR VABB 300740Z 29007KT 4000 FU BKN100 27/13 Q1011 BECMG 5000 FU=
2005-01-01,200501300700 METAR VABB NIL=
2005-01-01,200501300630 METAR VABB NIL=
2005-01-01,200501300600 METAR VABB NIL=
2005-01-01,200501300540 METAR VABB 300540Z 33004KT 2000 FU SCT100 28/14 Q1013 NOSIG=
2005-01-01,200501300340 METAR VABB 300340Z 00000KT 1000 R27/1600 FU BKN100 24/14 Q1012 TEMPO 0800 FU=
2005-01-01,200501300240 METAR VABB 300240Z 00000KT 1800 FU SCT100 22/13 Q1011 NOSIG=
2005-01-01,200501300200 METAR VABB NIL=
2005-01-01,200501300140 METAR VABB 300140Z 00000KT 2000 FU SCT100 21/14 Q1010 TEMPO 1500 FU=
2005-01-01,200501300100 METAR VABB NIL=
2005-01-01,200501300040 METAR VABB 300040Z 00000KT 2500 FU SKC 22/13 Q1010 NOSIG=
2005-01-01,200501292340 METAR VABB 292340Z 00000KT 2200 FU SKC 21/14 Q1010 NOSIG=
2005-01-01,200501292330 METAR VABB NIL=
2005-01-01,200501292240 METAR VABB 292240Z 00000KT 2200 FU SKC 22/13 Q1010 NOSIG=
2005-01-01,200501292140 METAR VABB 292140Z 00000KT 2200 FU SKC 22/14 Q1010 NOSIG=
2005-01-01,200501292040 METAR VABB 292040Z 00000KT 2000 FU SKC 22/14 Q1011 TEMPO VIS 1500 FU=
2005-01-01,200501291940 METAR VABB 291940Z 00000KT 3000 FU SKC 23/13 Q1011 NOSIG=
2005-01-01,200501291840 METAR VABB 291840Z 00000KT 3000 FU SKC 23/13 Q1011 NOSIG=
2005-01-01,200501291800 METAR VABB NIL=
2005-01-01,200501291740 METAR VABB 291740Z 00000KT 3000 FU SKC 24/14 Q1011 NOSIG=
2005-01-01,200501291730 METAR VABB NIL=
2005-01-01,200501291640 METAR VABB 291640Z 00000KT 3000 FU SKC 25/13 Q1011 NOSIG=
2005-01-01,200501291630 METAR VABB NIL=
2005-01-01,200501291530 METAR VABB NIL=
2005-01-01,200501291440 METAR VABB 291440Z 32007KT 5000 FU SKC 25/15 Q1010 NOSIG=
2005-01-01,200501291430 METAR VABB NIL=
2005-01-01,200501291330 METAR VABB NIL=
2005-01-01,200501291300 METAR VABB NIL=
2005-01-01,200501291240 METAR VABB 291240Z 31008KT 6000 SKC 26/13 Q1009 NOSIG=
2005-01-01,200501291200 METAR VABB NIL=
2005-01-01,200501291140 METAR VABB 291140Z 31008KT 6000 SKC 27/11 Q1008 NOSIG=
2005-01-01,200501291130 METAR VABB NIL=
2005-01-01,200501291100 METAR VABB NIL=
2005-01-01,200501291040 METAR VABB 291040Z 30010KT 6000 SKC 28/12 Q1008 NOSIG=
2005-01-01,200501291030 METAR VABB NIL=
2005-01-01,200501290940 METAR VABB 290940Z 26008KT 6000 FEW100 29/09 Q1008 NOSIG=
2005-01-01,200501290930 METAR VABB NIL=
2005-01-01,200501290840 METAR VABB 290840Z 29006KT 6000 FEW100 29/10 Q1009 NOSIG=
2005-01-01,200501290830 METAR VABB NIL=
2005-01-01,200501290740 METAR VABB 290740Z 27006KT 6000 FEW100 28/10 Q1010 NOSIG=
2005-01-01,200501290730 METAR VABB NIL=
2005-01-01,200501290640 METAR VABB 290640Z 28004KT 5000 FU SCT100 27/10 Q1012 NOSIG=
2005-01-01,200501290630 METAR VABB NIL=
2005-01-01,200501290600 METAR VABB NIL=
2005-01-01,200501290540 METAR VABB 290540Z 00000KT 3000 FU FEW020 SCT100 27/10 Q1013 BECMG 5000=
2005-01-01,200501290530 METAR VABB NIL=
2005-01-01,200501290440 METAR VABB 290440Z 31004KT 3000 FU SCT100 25/10 Q1013 BECMG 5000=
2005-01-01,200501290240 METAR VABB 290240Z 34005KT 2500 FU SCT100 22/09 Q1011 NOSIG=
2005-01-01,200501290230 METAR VABB NIL=
2005-01-01,200501290200 METAR VABB NIL=
2005-01-01,200501290140 METAR VABB 290140Z 34005KT 2500 FU SCT100 22/10 Q1011 TEMPO 1500 FU=
2005-01-01,200501290130 METAR VABB NIL=
2005-01-01,200501290040 METAR VABB 290040Z 34005KT 3000 FU SKC 22/12 Q1010 NOSIG=
2005-01-01,200501282340 METAR VABB 282340Z 28005KT 3000 FU SKC 21/12 Q1010 NOSIG=
2005-01-01,200501282330 METAR VABB NIL=
2005-01-01,200501282240 METAR VABB 282240Z 00000KT 3000 FU SKC 22/12 Q1010 NOSIG=
2005-01-01,200501282140 METAR VABB 282140Z 33003KT 3000 FU SKC 23/11 Q1010 NOSIG=
2005-01-01,200501282130 METAR VABB NIL=
2005-01-01,200501282040 METAR VABB 282040Z 32003KT 3000 FU SKC 23/11 Q1011 NOSIG=
2005-01-01,200501282030 METAR VABB NIL=
2005-01-01,200501281940 METAR VABB 281940Z 34003KT 3000 FU SKC 23/13 Q1011 NOSIG=
2005-01-01,200501281930 METAR VABB NIL=
2005-01-01,200501281900 METAR VABB NIL=
2005-01-01,200501281840 METAR VABB 281840Z 33004KT 3000 FU SKC 23/13 Q1011 NOSIG=
2005-01-01,200501281800 METAR VABB NIL=
2005-01-01,200501281740 METAR VABB 281740Z 33004KT 3000 FU SKC 23/15 Q1011 NOSIG=
2005-01-01,200501281730 METAR VABB NIL=
2005-01-01,200501281640 METAR VABB 281640Z 31006KT 3000 FU SKC 24/13 Q1011 NOSIG=
2005-01-01,200501281540 METAR VABB 281540Z 32004KT 3000 FU SKC 24/16 Q1011 NOSIG=
2005-01-01,200501281440 METAR VABB 281440Z 31008KT 3000 FU SKC 25/16 Q1010 NOSIG=
2005-01-01,200501281240 METAR VABB 281240Z 31007KT 5000 FU SKC 25/12 Q1009 NOSIG=
2005-01-01,200501281140 METAR VABB 281140Z 31009KT 5000 FU SKC 27/13 Q1009 NOSIG=
2005-01-01,200501281100 METAR VABB NIL=
2005-01-01,200501281040 METAR VABB 281040Z 28010KT 5000 FU FEW020 27/12 Q1009 NOSIG=
2005-01-01,200501281030 METAR VABB NIL=
2005-01-01,200501280940 METAR VABB 280940Z 28008KT 5000 FU FEW020 29/13 Q1009 NOSIG=
2005-01-01,200501280900 METAR VABB NIL=
2005-01-01,200501280840 METAR VABB 280840Z 32006KT 5000 FU SCT020 28/15 Q1010 NOSIG=
2005-01-01,200501280740 METAR VABB 280740Z 26010KT 4000 FU SCT020 27/16 Q1011 BECMG 5000=
2005-01-01,200501280640 METAR VABB 280640Z 00000KT 3000 FU FEW020 BKN100 27/17 Q1012 NOSIG=
2005-01-01,200501280540 METAR VABB 280540Z 00000KT 3000 FU FEW020 BKN100 26/16 Q1013 TEMPO 1500 DZ=
2005-01-01,200501280530 METAR VABB NIL=
2005-01-01,200501280440 METAR VABB 280440Z 00000KT 3000 FU FEW020 BKN100 26/17 Q1013 NOSIG=
2005-01-01,200501280430 METAR VABB NIL=
2005-01-01,200501280240 METAR VABB 280240Z 00000KT 2500 FU FEW020 BKN100 23/13 Q1012 TEMPO 1500 FU=
2005-01-01,200501280230 METAR VABB NIL=
2005-01-01,200501280200 METAR VABB NIL=
2005-01-01,200501280140 METAR VABB 280140Z 06003KT 3000 FU FEW020 BKN100 23/12 Q1010 TEMPO 1500 FU=
2005-01-01,200501280130 METAR VABB NIL=
2005-01-01,200501280100 METAR VABB NIL=
2005-01-01,200501280040 METAR VABB 280040Z 00000KT 3000 FU FEW020 BKN100 23/14 Q1010 NOSIG=
2005-01-01,200501280030 METAR VABB NIL=
2005-01-01,200501280000 METAR VABB NIL=
2005-01-01,200501272340 METAR VABB 272340Z 32003KT 3000 FU SCT020 BKN100 23/14 Q1010 NOSIG=
2005-01-01,200501272330 METAR VABB NIL=
2005-01-01,200501272240 METAR VABB 272240Z 05005KT 3000 FU SCT020 BKN100 23/15 Q1009 NOSIG=
2005-01-01,200501272230 METAR VABB NIL=
2005-01-01,200501272140 METAR VABB 272140Z 12004KT 3000 FU SCT020 BKN100 23/15 Q1010 NOSIG=
2005-01-01,200501272130 METAR VABB NIL=
2005-01-01,200501272100 METAR VABB NIL=
2005-01-01,200501272040 METAR VABB 272040Z 06004KT 3000 FU SCT015 BKN100 23/18 Q1010 NOSIG=
2005-01-01,200501271940 METAR VABB 271940Z 31004KT 3000 FU FEW020 BKN100 23/17 Q1012 NOSIG=
2005-01-01,200501271930 METAR VABB NIL=
2005-01-01,200501271840 METAR VABB 271840Z 32006KT 3000 FU SCT020 BKN100 24/15 Q1011 NOSIG=
2005-01-01,200501271800 METAR VABB NIL=
2005-01-01,200501271740 METAR VABB 271740Z 08005KT 3000 FU SCT020 BKN100 25/17 Q1011 NOSIG=
2005-01-01,200501271730 METAR VABB NIL=
2005-01-01,200501271700 METAR VABB NIL=
2005-01-01,200501271640 METAR VABB 271640Z 33005KT 3000 FU FEW020 BKN100 25/18 Q1012 NOSIG=
2005-01-01,200501271540 METAR VABB 271540Z 33005KT 3000 FU FEW020 BKN100 25/18 Q1011 NOSIG=
2005-01-01,200501271440 METAR VABB 271440Z 31006KT 3000 FU FEW020 BKN100 26/19 Q1011 NOSIG=
2005-01-01,200501271430 METAR VABB NIL=
2005-01-01,200501271400 METAR VABB NIL=
2005-01-01,200501271340 METAR VABB 271340Z 30006KT 3000 FU FEW020 SCT100 26/19 Q1010 NOSIG=
2005-01-01,200501271240 METAR VABB 271240Z 30009KT 4000 FU FEW020 SCT100 27/15 Q1010 TEMPO 3000 FU=
2005-01-01,200501271140 METAR VABB 271140Z 31010KT 4000 FU FEW020 BKN100 27/15 Q1009 NOSIG=
2005-01-01,200501271040 METAR VABB 271040Z 28008KT 4000 FU FEW020 SCT100 28/16 Q1009 NOSIG=
2005-01-01,200501270940 METAR VABB 270940Z 27008KT 4000 FU FEW020 BKN100 27/14 Q1009 NOSIG=
2005-01-01,200501270930 METAR VABB NIL=
2005-01-01,200501270840 METAR VABB 270840Z 29010KT 4000 FU SKC 28/13 Q1009 NOSIG=
2005-01-01,200501270740 METAR VABB 270740Z 28008KT 2500 FU SCT100 28/13 Q1010 BECMG 3000=
2005-01-01,200501270730 METAR VABB NIL=
2005-01-01,200501270640 METAR VABB 270640Z 30004KT 2500 FU SCT100 28/14 Q1011 BECMG 3000=
2005-01-01,200501270540 METAR VABB 270540Z 30005KT 2000 FU SCT100 27/12 Q1012 NOSIG=
2005-01-01,200501270500 METAR VABB NIL=
2005-01-01,200501270430 METAR VABB NIL=
2005-01-01,200501270340 METAR VABB 270340Z 26003KT 1200 R27/1400 FU SCT100 22/11 Q1011 TEMPO 0800 FU=
2005-01-01,200501270230 METAR VABB NIL=
2005-01-01,200501270200 METAR VABB NIL=
2005-01-01,200501270140 METAR VABB 270140Z 10003KT 2200 FU SCT100 20/14 Q1010 TEMPO 1500 FU=
2005-01-01,200501270130 METAR VABB NIL=
2005-01-01,200501270040 METAR VABB 270040Z 00000KT 2500 FU FEW100 19/14 Q1009 NOSIG=
2005-01-01,200501270000 METAR VABB NIL=
2005-01-01,200501262340 METAR VABB 262340Z 00000KT 2500 FU FEW100 19/14 Q1009 NOSIG=
2005-01-01,200501262240 METAR VABB 262240Z 00000KT 2500 FU FEW100 20/14 Q1008 NOSIG=
2005-01-01,200501262140 METAR VABB 262140Z 00000KT 2500 FU FEW100 21/14 Q1009 NOSIG=
2005-01-01,200501262130 METAR VABB NIL=
2005-01-01,200501262040 METAR VABB 262040Z 00000KT 2500 FU SCT100 21/13 Q1009 NOSIG=
2005-01-01,200501262000 METAR VABB NIL=
2005-01-01,200501261940 METAR VABB 261940Z 07003KT 2500 FU SCT100 23/14 Q1010 NOSIG=
2005-01-01,200501261930 METAR VABB NIL=
2005-01-01,200501261900 METAR VABB NIL=
2005-01-01,200501261840 METAR VABB 261840Z 00000KT 2500 FU SCT100 22/15 Q1010 NOSIG=
2005-01-01,200501261800 METAR VABB NIL=
2005-01-01,200501261740 METAR VABB 261740Z 03003KT 2500 FU FEW100 23/15 Q1011 NOSIG=
2005-01-01,200501261640 METAR VABB 261640Z 32003KT 2500 FU FEW100 23/16 Q1011 NOSIG=
2005-01-01,200501261630 METAR VABB NIL=
2005-01-01,200501261440 METAR VABB 261440Z 00000KT 3000 FU SCT100 23/14 Q1010 NOSIG=
2005-01-01,200501261400 METAR VABB NIL=
2005-01-01,200501261340 METAR VABB 261340Z 30003KT 3000 FU SCT100 23/16 Q1009 NOSIG=
2005-01-01,200501261330 METAR VABB NIL=
2005-01-01,200501261200 METAR VABB NIL=
2005-01-01,200501261140 METAR VABB 261140Z 30006KT 3000 FU FEW025 SCT100 25/15 Q1009 NOSIG=
2005-01-01,200501261040 METAR VABB 261040Z 28007KT 3000 FU FEW025 SCT100 26/15 Q1008 NOSIG=
2005-01-01,200501261030 METAR VABB NIL=
2005-01-01,200501261000 METAR VABB NIL=
2005-01-01,200501260940 METAR VABB 260940Z 27007KT 3000 FU FEW100 27/15 Q1009 NOSIG=
2005-01-01,200501260930 METAR VABB NIL=
2005-01-01,200501260900 METAR VABB NIL=
2005-01-01,200501260840 METAR VABB 260840Z 24008KT 3000 FU FEW100 30/12 Q1010 NOSIG=
2005-01-01,200501260740 METAR VABB 260740Z 28006KT 1500 R27/1600 FU FEW100 29/14 Q1011 BECMG 3000 FU=
2005-01-01,200501260730 METAR VABB NIL=
2005-01-01,200501260630 METAR VABB NIL=
2005-01-01,200501260600 METAR VABB NIL=
2005-01-01,200501260540 METAR VABB 260540Z 06003KT 1200 R27/1300 FU FEW100 26/12 Q1013 BECMG 1500 FU=
2005-01-01,200501260340 METAR VABB 260340Z 32003KT 1200 R27/1400 FU FEW100 21/13 Q1013 TEMPO 0800 FU=
2005-01-01,200501260330 METAR VABB NIL=
2005-01-01,200501260300 METAR VABB NIL=
2005-01-01,200501260240 METAR VABB 260240Z 08003KT 1200 R27/1400 FU FEW100 19/15 Q1012 TEMPO 0800 FU=
2005-01-01,200501260230 METAR VABB NIL=
2005-01-01,200501260200 METAR VABB NIL=
2005-01-01,200501260140 METAR VABB 260140Z 00000KT 1500 R27/2000 FU FEW100 19/14 Q1011 TEMPO 0800 FU=
2005-01-01,200501260130 METAR VABB NIL=
2005-01-01,200501260040 METAR VABB 260040Z 00000KT 1500 R27/2000 FU SKC 18/15 Q1010 NOSIG=
2005-01-01,200501252330 METAR VABB NIL=
2005-01-01,200501252240 METAR VABB 252240Z 04003KT 2000 FU SKC 20/14 Q1010 NOSIG=
2005-01-01,200501252230 METAR VABB NIL=
2005-01-01,200501252200 METAR VABB NIL=
2005-01-01,200501252140 METAR VABB 252140Z 07003KT 2000 FU SKC 20/14 Q1010 NOSIG=
2005-01-01,200501252130 METAR VABB NIL=
2005-01-01,200501252100 METAR VABB NIL=
2005-01-01,200501252040 METAR VABB 252040Z 00000KT 1800 R27/2000 FU SKC 20/15 Q1011 NOSIG=
2005-01-01,200501252030 METAR VABB NIL=
2005-01-01,200501252000 METAR VABB NIL=
2005-01-01,200501251940 METAR VABB 251940Z 00000KT 1500 R27/2000 FU SKC 21/15 Q1011 NOSIG=
2005-01-01,200501251900 METAR VABB NIL=
2005-01-01,200501251840 METAR VABB 251840Z 00000KT 1500 R27/2000 FU SKC 22/15 Q1011 NOSIG=
2005-01-01,200501251740 METAR VABB 251740Z 00000KT 2000 FU SKC 21/17 Q1012 NOSIG=
2005-01-01,200501251730 METAR VABB NIL=
2005-01-01,200501251640 METAR VABB 251640Z 17003KT 2200 FU SKC 21/17 Q1011 NOSIG=
2005-01-01,200501251540 METAR VABB 251540Z 28003KT 3000 FU SKC 22/18 Q1011 TEMPO VIS 1500 FU=
2005-01-01,200501251440 METAR VABB 251440Z 00000KT 3000 FU SKC 24/16 Q1011 NOSIG=
2005-01-01,200501251240 METAR VABB 251240Z 30005KT 3000 FU SKC 25/09 Q1010 NOSIG=
2005-01-01,200501251230 METAR VABB NIL=
2005-01-01,200501251140 METAR VABB 251140Z 30006KT 4000 FU SKC 26/11 Q1010 NOSIG=
2005-01-01,200501251130 METAR VABB NIL=
2005-01-01,200501251040 METAR VABB 251040Z 30006KT 4000 FU SKC 26/12 Q1010 NOSIG=
2005-01-01,200501251000 METAR VABB NIL=
2005-01-01,200501250940 METAR VABB 250940Z 30007KT 3000 FU SKC 28/13 Q1010 NOSIG=
2005-01-01,200501250930 METAR VABB NIL=
2005-01-01,200501250840 METAR VABB 250840Z 25008KT 3000 FU SKC 29/17 Q1011 NOSIG=
2005-01-01,200501250600 METAR VABB NIL=
2005-01-01,200501250430 METAR VABB NIL=
2005-01-01,200501250330 METAR VABB NIL=
2005-01-01,200501250240 METAR VABB 250240Z 07004KT 2200 FU FEW250 23/12 Q1012 NOSIG=
2005-01-01,200501250230 METAR VABB NIL=
2005-01-01,200501250140 METAR VABB 250140Z 09003KT 2200 FU FEW250 22/12 Q1012 TEMPO 1500 FU=
2005-01-01,200501250130 METAR VABB NIL=
2005-01-01,200501250100 METAR VABB NIL=
2005-01-01,200501250040 METAR VABB 250040Z 23003KT 2000 FU SKC 21/14 Q1011 NOSIG=
2005-01-01,200501250030 METAR VABB NIL=
2005-01-01,200501242340 METAR VABB 242340Z 00000KT 2000 FU SKC 21/15 Q1011 NOSIG=
2005-01-01,200501242240 METAR VABB 242240Z 00000KT 2000 FU SKC 21/15 Q1011 NOSIG=
2005-01-01,200501242140 METAR VABB 242140Z 00000KT 2000 FU SKC 21/15 Q1012 NOSIG=
2005-01-01,200501242130 METAR VABB NIL=
2005-01-01,200501242100 METAR VABB NIL=
2005-01-01,200501242030 METAR VABB NIL=
2005-01-01,200501241940 METAR VABB 241940Z 00000KT 2000 FU SKC 22/16 Q1012 TEMPO 1500 FU=
2005-01-01,200501241930 METAR VABB NIL=
2005-01-01,200501241840 METAR VABB 241840Z 00000KT 2500 FU SKC 23/17 Q1013 NOSIG=
2005-01-01,200501241740 METAR VABB 241740Z 00000KT 3000 FU SKC 23/16 Q1013 NOSIG=
2005-01-01,200501241730 METAR VABB NIL=
2005-01-01,200501241640 METAR VABB 241640Z 03003KT 3000 FU SKC 23/17 Q1013 NOSIG=
2005-01-01,200501241630 METAR VABB NIL=
2005-01-01,200501241540 METAR VABB 241540Z 34004KT 3000 FU SKC 23/16 Q1013 NOSIG=
2005-01-01,200501241530 METAR VABB NIL=
2005-01-01,200501241440 METAR VABB 241440Z 34005KT 4000 FU SKC 23/16 Q1012 TEMPO 3000 FU=
2005-01-01,200501241430 METAR VABB NIL=
2005-01-01,200501241400 METAR VABB NIL=
2005-01-01,200501241340 METAR VABB 241340Z 30007KT 4000 FU FEW250 24/14 Q1011 NOSIG=
2005-01-01,200501241240 METAR VABB 241240Z 33005KT 4000 FU FEW250 25/15 Q1010 NOSIG=
2005-01-01,200501241200 METAR VABB NIL=
2005-01-01,200501241140 METAR VABB 241140Z 32008KT 4000 FU FEW250 26/14 Q1010 NOSIG=
2005-01-01,200501241130 METAR VABB NIL=
2005-01-01,200501241040 METAR VABB 241040Z 26008KT 4000 FU FEW250 28/13 Q1010 NOSIG=
2005-01-01,200501241030 METAR VABB NIL=
2005-01-01,200501241000 METAR VABB NIL=
2005-01-01,200501240940 METAR VABB 240940Z 29007KT 3000 FU FEW250 28/14 Q1010 NOSIG=
2005-01-01,200501240930 METAR VABB NIL=
2005-01-01,200501240900 METAR VABB NIL=
2005-01-01,200501240840 METAR VABB 240840Z 27007KT 3000 FU SKC 28/11 Q1011 NOSIG=
2005-01-01,200501240800 METAR VABB NIL=
2005-01-01,200501240740 METAR VABB 240740Z 28008KT 3000 FU FEW250 27/12 Q1013 NOSIG=
2005-01-01,200501240730 METAR VABB NIL=
2005-01-01,200501240630 METAR VABB NIL=
2005-01-01,200501240540 METAR VABB 240540Z 05003KT 2200 FU FEW250 25/07 Q1015 BECMG 3000 FU=
2005-01-01,200501240440 METAR VABB 240440Z 09003KT 2200 FU FEW250 25/10 Q1015 BECMG 3000=
2005-01-01,200501240340 METAR VABB 240340Z 00000KT 2000 FU FEW250 23/11 Q1015 TEMPO 1500 FU=
2005-01-01,200501240240 METAR VABB 240240Z 00000KT 2200 FU FEW250 19/13 Q1014 TEMPO 1500 FU=
2005-01-01,200501240140 METAR VABB 240140Z 00000KT 2000 FU FEW100 19/12 Q1014 TEMPO 1500 FU=
2005-01-01,200501240040 METAR VABB 240040Z 00000KT 2500 FU SKC 19/12 Q1013 NOSIG=
2005-01-01,200501232340 METAR VABB 232340Z 30003KT 2500 FU SKC 19/13 Q1013 NOSIG=
2005-01-01,200501232240 METAR VABB 232240Z 00000KT 2000 FU SKC 19/14 Q1013 NOSIG=
2005-01-01,200501232140 METAR VABB 232140Z 07003KT 2000 FU SKC 20/15 Q1013 NOSIG=
2005-01-01,200501232040 METAR VABB 232040Z 00000KT 2500 FU SKC 20/14 Q1014 NOSIG=
2005-01-01,200501232000 METAR VABB NIL=
2005-01-01,200501231940 METAR VABB 231940Z 00000KT 2500 FU SKC 21/15 Q1014 NOSIG=
2005-01-01,200501231840 METAR VABB 231840Z 00000KT 2500 FU SKC 21/15 Q1014 NOSIG=
2005-01-01,200501231740 METAR VABB 231740Z 31003KT 2500 FU SKC 21/15 Q1015 NOSIG=
2005-01-01,200501231730 METAR VABB NIL=
2005-01-01,200501231640 METAR VABB 231640Z 33003KT 2500 FU SKC 22/14 Q1014 NOSIG=
2005-01-01,200501231630 METAR VABB NIL=
2005-01-01,200501231540 METAR VABB 231540Z 31006KT 3000 FU SKC 22/14 Q1014 NOSIG=
2005-01-01,200501231430 METAR VABB NIL=
2005-01-01,200501231400 METAR VABB NIL=
2005-01-01,200501231340 METAR VABB 231340Z 30003KT 5000 FU FEW250 23/17 Q1013 TEMPO VIS 3000 FU=
2005-01-01,200501231300 METAR VABB NIL=
2005-01-01,200501231240 METAR VABB 231240Z 30007KT 6000 SKC 25/15 Q1012 TEMPO VIS 5000 FU=
